modelo,nivel,semilla,banco,protocolo,acierto,rechazo,error,error_hacia_menos_presenciado,saltos_media,consultas_en_rechazo,n,persp_divergencia_jaccard,persp_conocidos_por_agente,persp_entropia_media
azar,0.125,42,texto_formacion,agregado,0.9333333333333333,0.0,0.06666666666666667,0.0,7.0,nan,1920,0.39191737647076097,8.0,2.316892501525849
azar,0.125,42,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,0.39191737647076097,8.0,2.316892501525849
azar,0.125,42,texto_reservado,directo,0.6703216374269005,0.2185672514619883,0.1111111111111111,0.42105263157894735,0.0,1.0,1368,0.39191737647076097,8.0,2.316892501525849
azar,0.125,42,texto_reservado,encadenado,0.8472222222222222,0.0,0.1527777777777778,0.0,0.3157894736842106,nan,1368,0.39191737647076097,8.0,2.316892501525849
azar,0.125,42,texto_reservado,agregado,0.9181286549707602,0.0,0.08187134502923976,0.0,7.0,nan,1368,0.39191737647076097,8.0,2.316892501525849
azar,0.125,42,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,0.39191737647076097,8.0,2.316892501525849
azar,0.125,42,imagen_test,directo,0.12109375,0.87890625,0.0,nan,0.0,1.0,1280,0.336124844096286,8.0,2.286305715096563
azar,0.125,42,imagen_test,encadenado,0.81875,0.18125,0.0,nan,3.3349236641221376,8.0,1280,0.336124844096286,8.0,2.286305715096563
azar,0.125,42,imagen_test,agregado,0.81875,0.18125,0.0,nan,7.0,8.0,1280,0.336124844096286,8.0,2.286305715096563
azar,0.125,42,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,0.336124844096286,8.0,2.286305715096563
azar,0.125,43,texto_formacion,directo,0.7708333333333334,0.08333333333333333,0.14583333333333334,0.2357142857142857,0.0,1.0,1920,0.3968459471672852,8.0,2.266879444145729
azar,0.125,43,texto_formacion,encadenado,0.8473958333333333,0.0,0.15260416666666668,0.0,0.11458333333333326,nan,1920,0.3968459471672852,8.0,2.266879444145729
